Date,Transactions
2015-09-27,107256
2015-09-29,139440
2015-10-01,135885
2015-10-03,132880
2015-10-05,117528
2015-10-07,139516
2015-10-09,119490
2015-10-11,105878
2015-10-13,133757
2015-10-15,157228
2015-10-17,139308
2015-10-19,136583
2015-10-21,161031
2015-10-23,146222
2015-10-25,128209
2015-10-27,141609
2015-10-29,165622
2015-10-31,155292
2015-11-02,159656
2015-11-04,211121
2015-11-06,165214
2015-11-08,134785
2015-11-10,154030
2015-11-12,154219
2015-11-14,156065
2015-11-16,150942
2015-11-18,168587
2015-11-20,155128
2015-11-22,126564
2015-11-24,150056
2015-11-26,164730
2015-11-28,171602
2015-11-30,172183
2015-12-02,177277
2015-12-04,160944
2015-12-06,179777
2015-12-08,192097
2015-12-10,211452
2015-12-12,211456
2015-12-14,221499
2015-12-16,222531
2015-12-18,214387
2015-12-20,191441
2015-12-22,223130
2015-12-24,227189
2015-12-26,170904
2015-12-28,166837
2015-12-30,181836
2016-01-01,123623
2016-01-03,141064
2016-01-05,187012
2016-01-07,177873
2016-01-09,178374
2016-01-11,179771
2016-01-13,191628
2016-01-15,185105
2016-01-17,192731
2016-01-19,205735
2016-01-21,210240
2016-01-23,200913
2016-01-25,210592
2016-01-27,226385
2016-01-29,222622
2016-01-31,168625
2016-02-02,231998
2016-02-04,201065
2016-02-06,232752
2016-02-08,220559
2016-02-10,233941
2016-02-12,202906
2016-02-14,188927
2016-02-16,218780
2016-02-18,212765
2016-02-20,225259
2016-02-22,224964
2016-02-24,225112
2016-02-26,209880
2016-02-28,224697
2016-03-01,260619
2016-03-03,221257
2016-03-05,238117
2016-03-07,183530
2016-03-09,187623
2016-03-11,193874
2016-03-13,141116
2016-03-15,197677
2016-03-17,206973
2016-03-19,188863
2016-03-21,189228
2016-03-23,187877
2016-03-25,173609
2016-03-27,161486
2016-03-29,191841
2016-03-31,208976
2016-04-02,196651
2016-04-04,200979
2016-04-06,218585
2016-04-08,215441
2016-04-10,181662
2016-04-12,240200
2016-04-14,230281
2016-04-16,192621
2016-04-18,203165
2016-04-20,216780
2016-04-22,210976
2016-04-24,183155
2016-04-26,250744
2016-04-28,247958
2016-04-30,215712
2016-05-02,223785
2016-05-04,233693
2016-05-06,233232
2016-05-08,185562
2016-05-10,245721
2016-05-12,228409
2016-05-14,211280
2016-05-16,239809
2016-05-18,235084
2016-05-20,209396
2016-05-22,184348
2016-05-24,246517
2016-05-26,220093
2016-05-28,193054
2016-05-30,211369
2016-06-01,234385
2016-06-03,234669
2016-06-05,190528
2016-06-07,248576
2016-06-09,236353
2016-06-11,213159
2016-06-13,251354
2016-06-15,262510
2016-06-17,253752
2016-06-19,218298
2016-06-21,248164
2016-06-23,241300
2016-06-25,210998
2016-06-27,217029
2016-06-29,224112
2016-07-01,210409
2016-07-03,177127
2016-07-05,214959
2016-07-07,216812
2016-07-09,185405
2016-07-11,218089
2016-07-13,218093
2016-07-15,216081
2016-07-17,171013
2016-07-19,222146
2016-07-21,217606
2016-07-23,195796
2016-07-25,240533
2016-07-27,235603
2016-07-29,231414
2016-07-31,192254
2016-08-02,252252
2016-08-04,231835
2016-08-06,196551
2016-08-08,236291
2016-08-10,245581
2016-08-12,232973
2016-08-14,200577
2016-08-16,256447
2016-08-18,239541
2016-08-20,210352
2016-08-22,229801
2016-08-24,237956
2016-08-26,226767
2016-08-28,174489
2016-08-30,254486
2016-09-01,238207
2016-09-03,182204
2016-09-05,227683
2016-09-07,250809
2016-09-09,222094
2016-09-11,180391
2016-09-13,241215
2016-09-15,233488
2016-09-17,215529
2016-09-19,223540
2016-09-21,239216
2016-09-23,223187
2016-09-25,197298
2016-09-27,243008
2016-09-29,242730
2016-10-01,213930
2016-10-03,260813
2016-10-05,266811
2016-10-07,268419
2016-10-09,210548
2016-10-11,263565
2016-10-13,229703
2016-10-15,210448
2016-10-17,237232
2016-10-19,201025
2016-10-21,265355
2016-10-23,191578
2016-10-25,237030
2016-10-27,326388
2016-10-29,229689
2016-10-31,241778
2016-11-02,268418
2016-11-04,248043
2016-11-06,228420
