date,open,high,low,close,vol(btc)
05/24/17 04:00 PM,2418,2436.9,2392.9,2433.89,2647.07
05/24/17 02:00 PM,2358.4,2420,2344.03,2418,3371.32
05/24/17 12:00 PM,2383.36,2409,2351,2356.44,2535.43
05/24/17 10:00 AM,2324.7,2401.34,2315,2383.22,2068.59
05/24/17 08:00 AM,2325.73,2345,2290.17,2324.72,1204.87
05/24/17 06:00 AM,2305,2338.23,2298.08,2326,687.02
05/24/17 04:00 AM,2307.93,2325,2286.67,2305,713.99
05/24/17 02:00 AM,2298.2,2315.27,2269.01,2309.57,1263.11
05/24/17 12:00 AM,2265.9,2298.99,2264.64,2296.49,1134.76
05/23/17 10:00 PM,2235.48,2275,2232.03,2264.23,1130.36
05/23/17 08:00 PM,2239.99,2240,2210.01,2235.48,965.44
05/23/17 06:00 PM,2222.01,2262.61,2218.67,2239.99,1236.39
05/23/17 04:00 PM,2250,2268.12,2189.88,2226,1739.27
05/23/17 02:00 PM,2200.7,2259.11,2194.38,2250,2221.89
05/23/17 12:00 PM,2190.01,2210.92,2180,2200,1381.25
05/23/17 10:00 AM,2148.99,2206.97,2144.52,2192.17,1943.42
05/23/17 08:00 AM,2170.01,2174.87,2125.37,2148.99,901.38
05/23/17 06:00 AM,2188.44,2188.44,2136.05,2168.93,913.75
05/23/17 04:00 AM,2154.99,2189.09,2150,2188.44,392.8
05/23/17 02:00 AM,2129.99,2158.04,2090.13,2154.8,536.57
05/23/17 12:00 AM,2088.76,2154.99,2088.45,2129.99,776.39
05/22/17 10:00 PM,2137.7,2138,2001,2099.97,2183.54
05/22/17 08:00 PM,2138.73,2193.39,2078,2137.83,1624.1
05/22/17 06:00 PM,2206.96,2230.34,2095,2138.01,2197.06
05/22/17 04:00 PM,2171.93,2208.96,2168.55,2203.97,1578.05
05/22/17 02:00 PM,2127.84,2181.99,2126,2172.4,1377.16
05/22/17 12:00 PM,2094,2129,2080,2127.89,1262.63
05/22/17 10:00 AM,2081,2118.24,2073.07,2094,903.53
05/22/17 08:00 AM,2121.66,2134.85,2050,2080,1891.16
05/22/17 06:00 AM,2098,2134.86,2082.81,2132.38,973.73
05/22/17 04:00 AM,2050,2098,2050,2098,895.61
05/22/17 02:00 AM,2022,2050,2020,2050,697.03
05/22/17 12:00 AM,2017.55,2022,2008.75,2022,754.94
05/21/17 10:00 PM,2016,2022,2008.69,2017.55,370.26
05/21/17 08:00 PM,2008.7,2020,2008.69,2014.64,489.26
05/21/17 06:00 PM,2000,2008.7,1988,2008.69,357.63
05/21/17 04:00 PM,1999,2013.47,1983,2000,735.57
05/21/17 02:00 PM,2025.16,2037.86,1961.52,2004.44,833.88
05/21/17 12:00 PM,2058.41,2061.11,2000,2023.57,1177.4
05/21/17 10:00 AM,2048.02,2063.11,2034.04,2056.86,919.76
05/21/17 08:00 AM,2030.02,2048.5,2017.01,2048.03,463.32
05/21/17 06:00 AM,2030,2044,2025.19,2030.01,237.86
05/21/17 04:00 AM,2045,2048,2017.28,2033.97,380.88
05/21/17 02:00 AM,2021.88,2045,2000,2045,542.36
05/21/17 12:00 AM,2013.99,2024.99,2008.28,2017.01,247.65
05/20/17 10:00 PM,1998.9,2021,1984.01,2013.99,758.62
05/20/17 08:00 PM,1974.98,2000,1970,1990,1303.45
05/20/17 06:00 PM,1980,1985,1960.07,1974.98,703.73
05/20/17 04:00 PM,1948.16,1980,1947.46,1980,1618.79
05/20/17 02:00 PM,1919.66,1964.18,1914.05,1957.08,1150.78
05/20/17 12:00 PM,1946.86,1968,1914,1919.98,1209.62
05/20/17 10:00 AM,1965.03,1970,1930,1949.96,1620.51
05/20/17 08:00 AM,1980,1986.99,1964.5,1964.5,613.79
05/20/17 06:00 AM,1983.88,1989,1976.88,1980,805.38
05/20/17 04:00 AM,1976.38,1983.99,1969.02,1983.88,794.68
05/20/17 02:00 AM,1983.1,1986.64,1964.18,1971.23,976.33
05/20/17 12:00 AM,1959.09,1985.1,1956.57,1985.1,754.28
05/19/17 10:00 PM,1957.12,1969.99,1951.47,1958,1125.94
05/19/17 08:00 PM,1924.99,1958.99,1923.4,1957.17,1037.77
05/19/17 06:00 PM,1924,1925,1898,1925,1643.64
05/19/17 04:00 PM,1949.99,1949.99,1920,1924,1214.52
05/19/17 02:00 PM,1940.68,1954.99,1936.91,1948.99,1454.53
05/19/17 12:00 PM,1935.77,1950,1915.38,1941,896.66
05/19/17 10:00 AM,1931.72,1954,1920.66,1932.73,1767.94
05/19/17 08:00 AM,1925.56,1935.98,1912.91,1928.04,1164.37
05/19/17 06:00 AM,1910.79,1935,1910.46,1920.41,858.67
05/19/17 04:00 AM,1898.72,1915,1895.35,1912.16,576.87
05/19/17 02:00 AM,1889.72,1907.86,1874.99,1898.68,648.36
05/19/17 12:00 AM,1879,1910,1875,1889.97,1735.35
05/18/17 10:00 PM,1876.5,1881.8,1875,1878.99,794.97
05/18/17 08:00 PM,1860.4,1880,1860.04,1876.5,624.92
05/18/17 06:00 PM,1864.65,1869.99,1846.5,1858.91,673.81
05/18/17 04:00 PM,1852.32,1870,1852.32,1861.8,1192.15
05/18/17 02:00 PM,1825.98,1862.3,1820.07,1855.99,1643.02
05/18/17 12:00 PM,1799.28,1850,1792.7,1820.08,2293.26
05/18/17 10:00 AM,1790.01,1805,1790,1799.28,922.79
05/18/17 08:00 AM,1815.03,1823.33,1783.11,1790.01,737.86
05/18/17 06:00 AM,1798.27,1820.6,1790,1815.03,1047.13
05/18/17 04:00 AM,1768.11,1800,1766.33,1797,819.82
05/18/17 02:00 AM,1811.26,1811.99,1767.65,1768.12,662.42
05/18/17 12:00 AM,1779,1813.98,1775.85,1808.69,503.98
05/17/17 10:00 PM,1767.01,1783.98,1765.26,1782.99,759.5
05/17/17 08:00 PM,1799.96,1805.15,1765.27,1771.44,1960.12
05/17/17 06:00 PM,1793.28,1828.41,1787.29,1795,1329.09
05/17/17 04:00 PM,1829.91,1833.26,1788,1788.11,1662.69
05/17/17 02:00 PM,1821.23,1840.42,1817.22,1829.98,1807.39
05/17/17 12:00 PM,1786.69,1834,1780.53,1821.23,1749.68
05/17/17 10:00 AM,1800,1805.1,1775.9,1786.69,727.07
05/17/17 08:00 AM,1761,1804.79,1740,1803.22,972.62
05/17/17 06:00 AM,1757.31,1808,1730.28,1761,2679.46
05/17/17 04:00 AM,1709.27,1761.26,1704.88,1758.66,1184.52
05/17/17 02:00 AM,1681.99,1738.26,1670.01,1709.32,1685.52
05/17/17 12:00 AM,1700.01,1711,1676,1680,1279.66
05/16/17 10:00 PM,1704.99,1711.85,1696,1700.01,955.6
